Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Slew Rate Control
1,PA03,,Available,,,,,,DISABLED
2,PA04,L_S2_F,GPIO,Digital,In/Out,Low,,,DISABLED
3,PA05,L_S0_A,GPIO,Digital,In/Out,Low,,,DISABLED
4,PA06,COM2_AL,GPIO,Digital,Out,High,,,DISABLED
5,PA07,,Available,,,,,,DISABLED
6,PA08,,Available,,,,,,DISABLED
7,PA09,,Available,,,,,,DISABLED
8,PA10,L_S4_DP,GPIO,Digital,In/Out,Low,,,DISABLED
9,PA11,L_S5_E,GPIO,Digital,In/Out,Low,,,DISABLED
11,PA17,,Available,,,,,,DISABLED
12,PA18,L_S6_D,GPIO,Digital,In/Out,Low,,,DISABLED
13,PA19,L_S7_C,GPIO,Digital,In/Out,Low,,,DISABLED
14,PA20,,Available,,,,,,DISABLED
15,PA21,,Available,,,,,,DISABLED
16,PA22,L_S3_G,GPIO,Digital,In/Out,Low,,,DISABLED
17,PA23,COM1_AL,GPIO,Digital,Out,High,,,DISABLED
20,PA24,,Available,,,,,,DISABLED
21,PA25,,Available,,,,,,DISABLED
22,PA26,LED_T,GPIO,Digital,Out,High,,,DISABLED
23,PA27,,Available,,,,,,DISABLED
24,PA28,,Available,,,,,,DISABLED
25,PA29,,Available,,,,,,DISABLED
26,PA30,,Available,,,,,,DISABLED
27,PA31,,Available,,,,,,DISABLED
30,PA00,L_S1_B,GPIO,Digital,In/Out,Low,,,DISABLED
31,PA01,,Available,,,,,,DISABLED
32,PA02,,Available,,,,,,DISABLED
